Data,Mês,Gasto TV,Gasto Rádio,Gasto Redes Sociais,Gasto Email,Promoção,Atividade Concorrente,Receita Vendas
2023-02-06,2,34.69,25.74,30.69,5.34,0,0,911.38
2023-02-13,2,32.28,14.19,43.38,9.3,1,0,1026.99
2023-02-20,2,52.62,12.6,24.73,8.44,0,0,882.6
2023-02-27,2,42.56,17.03,10.37,3.64,1,0,948.2
2023-03-06,3,58.04,11.61,37.31,9.8,0,0,982.17
2023-03-13,3,54.16,37.55,28.66,5.82,0,1,957.05
2023-03-20,3,46.01,18.63,33.23,13.35,0,0,1018.32
2023-03-27,3,35.92,13.57,15.63,10.89,0,0,920.9
2023-04-03,4,28.95,20.34,23.64,5.46,1,0,983.13
2023-04-10,4,50.96,17.8,36.84,13.31,0,0,1064.29
2023-04-17,4,31.84,17.01,17.97,15.75,0,0,984.45
2023-04-24,4,36.03,14.87,33.21,8.4,0,0,997.74
2023-05-01,5,50.04,14.57,28.11,8.82,0,0,964.77
2023-05-08,5,48.62,9.28,21.93,12.79,1,0,1053.45
2023-05-15,5,33,31.21,21.32,15.27,0,0,988.76
2023-05-22,5,65.33,23.43,19.72,4.29,0,0,1017.13
2023-05-29,5,64.81,21.14,29.06,5.74,0,0,956.64
2023-06-05,6,56.51,17.96,30.66,7.96,0,0,1135.35
2023-06-12,6,56.49,12.43,25.43,8.32,0,0,1082.56
2023-06-19,6,56.51,13.64,19.59,12.84,0,0,965.94
2023-06-26,6,130.59,9.88,33.39,15.54,0,0,1137.2
2023-07-03,7,64,14.33,38.7,16,0,0,1134.43
2023-07-10,7,58.77,11.7,35.4,4.31,0,0,1042.19
2023-07-17,7,37.96,35.34,54.15,6.66,0,0,1044.03
2023-07-24,7,45.08,26.66,27.13,5.43,0,0,1093.81
2023-07-31,7,91.36,19.54,44.59,7.34,0,0,1085.93
2023-08-07,8,25.43,12.79,22.66,6.55,0,1,987.81
2023-08-14,8,41.23,11.77,21.41,11.05,0,0,1078.17
2023-08-21,8,65.44,17.23,29.66,11.58,0,0,1054.77
2023-08-28,8,38.1,26.69,47.23,9.35,0,0,1036.54
2023-09-04,9,60.14,10.15,26.51,9.26,0,0,1039.98
2023-09-11,9,49.91,24.02,16.35,8.22,0,0,1063.54
2023-09-18,9,40.09,14.52,39.03,8.62,0,0,1123.86
2023-09-25,9,24.68,15.62,28.55,17.41,0,1,1010.94
2023-10-02,10,53.62,20.18,33.36,13.01,0,0,1142.95
2023-10-09,10,39.41,13.77,23.12,8.6,0,0,1084.67
2023-10-16,10,48.93,17.9,31.37,9.46,0,0,1146.94
2023-10-23,10,58.89,13.28,17.71,11.83,0,0,1137.77
2023-10-30,10,65.26,15.45,53.76,5.79,0,0,1043.54
2023-11-06,11,46.21,28.11,45.12,11.09,0,0,1312.08
2023-11-13,11,43.62,21.79,32.66,13.45,0,0,1273.23
2023-11-20,11,35.53,28.07,42.09,12.77,0,0,1233.1
2023-11-27,11,70.02,15.72,25.44,7.43,0,0,1330.45
2023-12-04,12,100.16,27.29,46.25,8.34,0,0,1450.71
2023-12-11,12,75.22,10.21,29.59,4.21,0,0,1366.78
2023-12-18,12,80.19,22.21,28.87,14.59,0,1,1412.19
2023-12-25,12,44.6,28,23.57,23.06,0,0,1427.6
